"ID","Type","Year","Title","Authors","Venue","Tags"
"C56","Korean","2025","ROS-Based PTZ Camera System for Visual Monitoring in PHM","Alfredo Valenzuela, Hugo Zuniga, Felipe Zuniga, and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 2025), Jeju Booyoung Hotel, Seoguipo, South Korea, Jun 23 – 25, 2025",""
"C55","Korean","2025","An Integrated Framework for Object Reconstruction with 3D Gaussian Splatting and Reinforcement-Learned Sliding-Mode Landing Control","Sooyeun Yang and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 2025), Jeju Booyoung Hotel, Seoguipo, South Korea, Jun 23 – 25, 2025",""
"C54","Korean","2025","An Integrated Framework for Object Reconstruction with 3D Gaussian Splatting and Reinforcement-Learned Sliding-Mode Landing Control","Jonathan Boyack, Hansol Lim, and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 2025), Jeju Booyoung Hotel, Seoguipo, South Korea, Jun 23 – 25, 2025",""
"C53","Korean","2025","Linear Optimization Strategy for Individual Battery Cell Power Controller to Extend its Remaining Useful Life using PHM","Jeewon Lee and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 202 5), Jeju Booyoung Hotel, Seoguipo, South Korea, Jun 23 – 25, 2025",""
"C52","Korean","2025","Interpretable Surrogates via Lagrangian Energy Heads","Hansol Lim and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 2025), Jeju Booyoung Hotel, Seoguipo, South Korea, Jun 23 – 25, 2025",""
"C51","Korean","2025","OPTIMIS: Omniverse-Powered 3D Gaussian Splatting","Sooyeun Yang, Jeewon Lee, Hansol Lim, Jongseong Choi*","Korean Society of Mechanical Engineers (KSME)-Reliability Division 2025, Kolon Hotel, Gyeongju, South Korea, Apr 9 – 11, 2025",""
"C50","Korean","2025","Physics-Informed Diffusion Models for 2D Heat Equation","Hansol Lim, Jeewon Lee, Sooyeun Yang, and Jongseong Choi*","Korean Society of Mechanical Engineers (KSME)-Reliability Division 2025, Kolon Hotel, Gyeongju, South Korea, Apr 9 – 11, 2025",""
"C49","Korean","2025","Visual Monitoring Assessments System through Robot Operating System (ROS)","Alfredo Valenzuela, Jongseong Choi*, Felipe Zuniga, and Hugo Zuniga","Korean Society of Mechanical Engineers (KSME)-Reliability Division 2025, Kolon Hotel, Gyeongju, South Korea, Apr 9 – 11, 2025",""
"C48","Korean","2025","Virtual Reality based Remote Controlled Perspective Synchronized Snowplow","Cheyul Im, Hansol Lim, and Jongseong Choi*","Korean Society of Mechanical Engineers (KSME)-Reliability Division 2025, Kolon Hotel, Gyeongju, South Korea, Apr 9 – 11, 2025",""
"C47","Korean","2025","Remote Collaboration and Real-Time Visualization System Using Mixed Reality: Application in Construction and Industrial Sites","Sungwook Choi, Hanbeom Chang, Jongseong Choi*","Korean Society of Mechanical Engineers (KSME)-Reliability Division 2025, Kolon Hotel, Gyeongju, South Korea, Apr 9 – 11, 2025",""
"C46","Korean","2025","NuClearView: Object-Centric 3D Reconstruction and Automated Defect Localization for Nuclear Reactor Inspection","Jeewon Lee, Hansol Lim, Sooyeun Yang, Jongseong Choi*, Sang Hyuk Lee, Dongsoo Kang, Hankwang Choi, and Yongkyu Kim","Korean Society of Mechanical Engineers (KSME)-Reliability Division 2025, Kolon Hotel, Gyeongju, South Korea, Apr 9 – 11, 2025",""
"C45","International","2024","Software Architecture and Simulation Interface for Autonomous Underwater Vehicles","Lesus Davila, Alfredo Valenzuela, Ricardo Ortiz, Jongseong Choi, Francisco Yumbla*","IEEE Ecuador Technical Chapters Meeting 2024 (ETCM 2024), Universidad de Cuenca, Cuenca, Ecuador, Oct 15 – 18, 2024",""
"C44","International","2024","Development of a 3D Gaussian Splatting Digital Twining Platform for Remote Ship Assessment","Jee Won Lee, Hansol Lim, Jongseong Choi*, Sangho Song, Jaechul Park, Hwasup Jang","7th International Conference on Materials and Reliability (ICMR 2024), The Westin Josun Busan, Busan, South Korea, Dec 3-6, 2024",""
"C43","International","2024","Runge-Kutta Neural Networks as PINN Alternative","Hansol Lim, Jonathan Boyack, Jongseong Choi*","7th International Conference on Materials and Reliability (ICMR 2024), The Westin Josun Busan, Busan, South Korea, Dec 3-6, 2024",""
"C42","International","2024","Transforming SLAM Data into 3D Gaussian Splatting Models","Hansol Lim, Hanbeom Chang and Jongseong Choi*","12th International Conference on Robot Intelligence Technology and Applications (RiTA2024), UNIST, Ulsan, South Korea, Dec 4 – 7, 2024",""
"C41","International","2024","3D Reconstruction by Looking: Instantaneous Visualization of Point Cloud Registration on an MR Device","Hanbeom Chang, Hansol Lim, and Jongseong Choi*","12th International Conference on Robot Intelligence Technology and Applications (RiTA2024), UNIST, Ulsan, South Korea, Dec 4 – 7, 2024",""
"C40","Korean","2024","Real-time Digital Twin Registration System for Visual Inspection in Mixed Reality","Hansol Lim, Jeewon Lee, Sooyeun Yang, and Jongseong Choi*","Korean Society of Mechanical Engineers (KSME)-Chungcheong Division 2024, KIMM, Daejeon, South Korea, Nov 21, 2024","Grand Prize"
"C39","Korean","2024","PhysGaussian-Enhanced Digital Twin for Building Safety Assessment","Sooyeun Yang, Jeewon Lee, Hanbeom Chang, and Jongseong Choi*","Korean Society of Mechanical Engineers (KSME)-Chungcheong Division 2024, KIMM, Daejeon, South Korea, Nov 21, 2024",""
"C38","Korean","2024","Augmented Reality-Driven Remote Inspection: Head-Movement and Gesture-Based PTZ Camera Control in Real-Time","Jeewon Lee, Hansol Lim, Hanbeom Chang, Sooyeun Yang, and Jongseong Choi*","Korean Society of Mechanical Engineers (KSME)-Chungcheong Division 2024, KIMM, Daejeon, South Korea, Nov 21, 2024",""
"C37","Korean","2024","LiDAR-Camera based Real-time 3D Reconstruction with Mixed Reality Visualization System","Hanbeom Chang, Soo-Jung Chi, Jongseong Choi*, and Chul Min Yeum","Annual Conference of the PHM Kor ea (PHM Korea 2023), The K Hotel, Seoul, South Korea, Jun 25 – 26, 2024","Best Poster Award"
"C36","Korean","2024","ChromaFilter: Color-Based LiDAR Filter for Real-Time Feature Extraction and Optimization","Hansol Lim, Hanbeom Chang, and Jongseong Choi*","Annual Conference of the PHM Kor ea (PHM Korea 2023), The K Hotel, Seoul, South Korea, Jun 25 – 26, 2024",""
"C35","Korean","2024","CNN-Driven Pothole Detection and Road Hazard Localized DB Development","Sooyeun Yang, Hojin Song, Eugene Pak, and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 2023), The K Hotel, Seoul, South Korea, Jun 25 – 26, 2024",""
"C34","Korean","2024","Photogrammetry-Based Approach to Indoor Space Digital Twin Model Generation","Yoonseong Kim, Hansol Lim, and Jongseong Choi*","Annual Conference of the PHM Kor ea (PHM Korea 2023), The K Hotel, Seoul, South Korea, Jun 25 – 26, 2024",""
"C33","International","2024","Visual Analytics and Human-Machine Collaborative Remote Assessment Approach for Infrastructure Management","Jongseong Choi*","20th World Conference on Non-Destructive Testing 2024 (WCNDT 2024), Songdo Convensia, Incheon, South Korea, May 27 – 31, 2024","Invited"
"C32","International","2024","NeRF Generated Digital Twin Model for Real-Time, Perspective-Free Visual Analytics","Hansol Lim and Jongseong Choi*","20th World Conference on Non-Destructive Testing 2024 (WCNDT 2024), Songdo Convensia, Incheon, South Korea, May 27 – 31, 2024",""
"C31","International","2024","Digital Twin Platform for Remote Assessment: Application in Extensive Ship Engine Inspection","Hanbeom Chang, Jongseong Choi*, R icardo Ortiz, and Chul Min Yeum","20th World Conference on Non-Destructive Testing 2024 (WCNDT 2024), Songdo Convensia, Incheon, South Korea, May 27 – 31, 2024",""
"C30","International","2024","Remote Monitoring Assessment Through Pan-Tilt-Zoom Automated Camera Control","Alfredo Valenzuela, Jee Won Lee, Chul Min Yeum, Ricardo Ortiz, and Jongseong Choi*","20th World Conference on Non-Destructive Testing 2024 (WCNDT 2024), Songdo Convensia, Incheon, South Korea, May 27 – 31, 2024",""
"C29","International","2024","Data Localization on A Digital Twin Model to Enable Remote Assessment: Implementation on a full-scale Ship Engine","Jonathan Boyack, & Jongseong Choi*","20th World Conference on Non-Destructive Testing 2024 (WCNDT 2024), Songdo Convensia, Incheon, South Korea, May 27 – 31, 2024",""
"C28","International","2024","Enhanced Construction Site Monitoring with RTK-GPS Guided Unmanned Mobile Robot and Mapping API Integration","Ricardo Ortiz, Alfredo Valenzuela, and Jongseong Choi*","20th World Conference on Non-Destructive Testing 2024 (WCNDT 2024), Songdo Convensia, Incheon, South Korea, May 27 – 31, 2024",""
"C29","Korean","2023","Real-Time, Non-Intrusive Inspection of Structures and Machines Using Visual Analytics and SfM-Based Digital Twin Generation","Hansol Lim and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 2023), The K Hotel, Seoul, South Korea, July 7 – 8, 2023","Best Paper Award"
